,date,county,state,fips,cases,deaths
8818,2020-03-23,Lac qui Parle,Minnesota,27073.0,1,0.0
10113,2020-03-24,Lac qui Parle,Minnesota,27073.0,1,0.0
11531,2020-03-25,Lac qui Parle,Minnesota,27073.0,1,0.0
13120,2020-03-26,Lac qui Parle,Minnesota,27073.0,1,0.0
14834,2020-03-27,Lac qui Parle,Minnesota,27073.0,1,0.0
16656,2020-03-28,Lac qui Parle,Minnesota,27073.0,1,0.0
18575,2020-03-29,Lac qui Parle,Minnesota,27073.0,1,0.0
20596,2020-03-30,Lac qui Parle,Minnesota,27073.0,1,0.0
22710,2020-03-31,Lac qui Parle,Minnesota,27073.0,1,0.0
24892,2020-04-01,Lac qui Parle,Minnesota,27073.0,1,0.0
27146,2020-04-02,Lac qui Parle,Minnesota,27073.0,1,0.0
29465,2020-04-03,Lac qui Parle,Minnesota,27073.0,1,0.0
31843,2020-04-04,Lac qui Parle,Minnesota,27073.0,1,0.0
34269,2020-04-05,Lac qui Parle,Minnesota,27073.0,1,0.0
36729,2020-04-06,Lac qui Parle,Minnesota,27073.0,1,0.0
39238,2020-04-07,Lac qui Parle,Minnesota,27073.0,1,0.0
41791,2020-04-08,Lac qui Parle,Minnesota,27073.0,1,0.0
44367,2020-04-09,Lac qui Parle,Minnesota,27073.0,1,0.0
46976,2020-04-10,Lac qui Parle,Minnesota,27073.0,1,0.0
49621,2020-04-11,Lac qui Parle,Minnesota,27073.0,1,0.0
52291,2020-04-12,Lac qui Parle,Minnesota,27073.0,1,0.0
54973,2020-04-13,Lac qui Parle,Minnesota,27073.0,1,0.0
57671,2020-04-14,Lac qui Parle,Minnesota,27073.0,1,0.0
60381,2020-04-15,Lac qui Parle,Minnesota,27073.0,1,0.0
63103,2020-04-16,Lac qui Parle,Minnesota,27073.0,1,0.0
65842,2020-04-17,Lac qui Parle,Minnesota,27073.0,1,0.0
68594,2020-04-18,Lac qui Parle,Minnesota,27073.0,1,0.0
71358,2020-04-19,Lac qui Parle,Minnesota,27073.0,1,0.0
74131,2020-04-20,Lac qui Parle,Minnesota,27073.0,1,0.0
76911,2020-04-21,Lac qui Parle,Minnesota,27073.0,1,0.0
79696,2020-04-22,Lac qui Parle,Minnesota,27073.0,1,0.0
82492,2020-04-23,Lac qui Parle,Minnesota,27073.0,1,0.0
85296,2020-04-24,Lac qui Parle,Minnesota,27073.0,1,0.0
88106,2020-04-25,Lac qui Parle,Minnesota,27073.0,1,0.0
90922,2020-04-26,Lac qui Parle,Minnesota,27073.0,1,0.0
93743,2020-04-27,Lac qui Parle,Minnesota,27073.0,1,0.0
96578,2020-04-28,Lac qui Parle,Minnesota,27073.0,1,0.0
99424,2020-04-29,Lac qui Parle,Minnesota,27073.0,1,0.0
102276,2020-04-30,Lac qui Parle,Minnesota,27073.0,1,0.0
105137,2020-05-01,Lac qui Parle,Minnesota,27073.0,1,0.0
108002,2020-05-02,Lac qui Parle,Minnesota,27073.0,1,0.0
110873,2020-05-03,Lac qui Parle,Minnesota,27073.0,1,0.0
113752,2020-05-04,Lac qui Parle,Minnesota,27073.0,2,0.0
116633,2020-05-05,Lac qui Parle,Minnesota,27073.0,2,0.0
119593,2020-05-06,Lac qui Parle,Minnesota,27073.0,2,0.0
122566,2020-05-07,Lac qui Parle,Minnesota,27073.0,2,0.0
125548,2020-05-08,Lac qui Parle,Minnesota,27073.0,2,0.0
128535,2020-05-09,Lac qui Parle,Minnesota,27073.0,2,0.0
131525,2020-05-10,Lac qui Parle,Minnesota,27073.0,2,0.0
134516,2020-05-11,Lac qui Parle,Minnesota,27073.0,2,0.0
137506,2020-05-12,Lac qui Parle,Minnesota,27073.0,2,0.0
140500,2020-05-13,Lac qui Parle,Minnesota,27073.0,2,0.0
143495,2020-05-14,Lac qui Parle,Minnesota,27073.0,2,0.0
146495,2020-05-15,Lac qui Parle,Minnesota,27073.0,2,0.0
149500,2020-05-16,Lac qui Parle,Minnesota,27073.0,2,0.0
152511,2020-05-17,Lac qui Parle,Minnesota,27073.0,2,0.0
155525,2020-05-18,Lac qui Parle,Minnesota,27073.0,3,0.0
158543,2020-05-19,Lac qui Parle,Minnesota,27073.0,3,0.0
161569,2020-05-20,Lac qui Parle,Minnesota,27073.0,3,0.0
164598,2020-05-21,Lac qui Parle,Minnesota,27073.0,3,0.0
167634,2020-05-22,Lac qui Parle,Minnesota,27073.0,3,0.0
170672,2020-05-23,Lac qui Parle,Minnesota,27073.0,3,0.0
173714,2020-05-24,Lac qui Parle,Minnesota,27073.0,3,0.0
176757,2020-05-25,Lac qui Parle,Minnesota,27073.0,3,0.0
179801,2020-05-26,Lac qui Parle,Minnesota,27073.0,3,0.0
182847,2020-05-27,Lac qui Parle,Minnesota,27073.0,3,0.0
185902,2020-05-28,Lac qui Parle,Minnesota,27073.0,3,0.0
188960,2020-05-29,Lac qui Parle,Minnesota,27073.0,3,0.0
192024,2020-05-30,Lac qui Parle,Minnesota,27073.0,3,0.0
195092,2020-05-31,Lac qui Parle,Minnesota,27073.0,3,0.0
198163,2020-06-01,Lac qui Parle,Minnesota,27073.0,3,0.0
201236,2020-06-02,Lac qui Parle,Minnesota,27073.0,3,0.0
204313,2020-06-03,Lac qui Parle,Minnesota,27073.0,3,0.0
207394,2020-06-04,Lac qui Parle,Minnesota,27073.0,3,0.0
210475,2020-06-05,Lac qui Parle,Minnesota,27073.0,3,0.0
213559,2020-06-06,Lac qui Parle,Minnesota,27073.0,3,0.0
216647,2020-06-07,Lac qui Parle,Minnesota,27073.0,3,0.0
219739,2020-06-08,Lac qui Parle,Minnesota,27073.0,3,0.0
222834,2020-06-09,Lac qui Parle,Minnesota,27073.0,3,0.0
225932,2020-06-10,Lac qui Parle,Minnesota,27073.0,3,0.0
229034,2020-06-11,Lac qui Parle,Minnesota,27073.0,3,0.0
232138,2020-06-12,Lac qui Parle,Minnesota,27073.0,3,0.0
235244,2020-06-13,Lac qui Parle,Minnesota,27073.0,3,0.0
238351,2020-06-14,Lac qui Parle,Minnesota,27073.0,3,0.0
241460,2020-06-15,Lac qui Parle,Minnesota,27073.0,3,0.0
244571,2020-06-16,Lac qui Parle,Minnesota,27073.0,3,0.0
247684,2020-06-17,Lac qui Parle,Minnesota,27073.0,3,0.0
250796,2020-06-18,Lac qui Parle,Minnesota,27073.0,3,0.0
253911,2020-06-19,Lac qui Parle,Minnesota,27073.0,4,0.0
257031,2020-06-20,Lac qui Parle,Minnesota,27073.0,4,0.0
260157,2020-06-21,Lac qui Parle,Minnesota,27073.0,4,0.0
263286,2020-06-22,Lac qui Parle,Minnesota,27073.0,4,0.0
266412,2020-06-23,Lac qui Parle,Minnesota,27073.0,4,0.0
269545,2020-06-24,Lac qui Parle,Minnesota,27073.0,4,0.0
272682,2020-06-25,Lac qui Parle,Minnesota,27073.0,4,0.0
275825,2020-06-26,Lac qui Parle,Minnesota,27073.0,4,0.0
278973,2020-06-27,Lac qui Parle,Minnesota,27073.0,4,0.0
282121,2020-06-28,Lac qui Parle,Minnesota,27073.0,4,0.0
285266,2020-06-29,Lac qui Parle,Minnesota,27073.0,4,0.0
288416,2020-06-30,Lac qui Parle,Minnesota,27073.0,4,0.0
291567,2020-07-01,Lac qui Parle,Minnesota,27073.0,4,0.0
294721,2020-07-02,Lac qui Parle,Minnesota,27073.0,4,0.0
297879,2020-07-03,Lac qui Parle,Minnesota,27073.0,4,0.0
301042,2020-07-04,Lac qui Parle,Minnesota,27073.0,4,0.0
304206,2020-07-05,Lac qui Parle,Minnesota,27073.0,4,0.0
307373,2020-07-06,Lac qui Parle,Minnesota,27073.0,4,0.0
310541,2020-07-07,Lac qui Parle,Minnesota,27073.0,4,0.0
313711,2020-07-08,Lac qui Parle,Minnesota,27073.0,4,0.0
316885,2020-07-09,Lac qui Parle,Minnesota,27073.0,4,0.0
320060,2020-07-10,Lac qui Parle,Minnesota,27073.0,4,0.0
323239,2020-07-11,Lac qui Parle,Minnesota,27073.0,5,0.0
326422,2020-07-12,Lac qui Parle,Minnesota,27073.0,5,0.0
329608,2020-07-13,Lac qui Parle,Minnesota,27073.0,5,0.0
332795,2020-07-14,Lac qui Parle,Minnesota,27073.0,6,0.0
335988,2020-07-15,Lac qui Parle,Minnesota,27073.0,6,0.0
339184,2020-07-16,Lac qui Parle,Minnesota,27073.0,6,0.0
342380,2020-07-17,Lac qui Parle,Minnesota,27073.0,6,0.0
345580,2020-07-18,Lac qui Parle,Minnesota,27073.0,6,0.0
348781,2020-07-19,Lac qui Parle,Minnesota,27073.0,6,0.0
351981,2020-07-20,Lac qui Parle,Minnesota,27073.0,6,0.0
